"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Datasheet","Description_1","Manufacturer_Name","Manufacturer_Part_Number"
"C1,C3,C9,C10","4","10uF/50V","","","","~","","Samsung Electro-Mechanics","CL31B106KBHNNNE"
"C2,C4,C8","3","100nF","","","","~","","Murata","GRM188R71H104KA93D"
"C5","1","1uF/50V","","","","~","","YAGEO ","CC0603KRX7R9BB105"
"C6,C7","2","10nF/50V","","","","~","","YAGEO ","CC0603KRX7R9BB103"
"D1,D2,D3","3","LED","","","","~","","",""
"D4,D5","2","ESD441DPLR","","","","https://www.ti.com/lit/ds/symlink/esd441.pdf?ts=1730589139389&ref_url=https%253A%252F%252Fapp.ultralibrarian.com%252F","","Texas Instruments","ESD441DPLR"
"D6,D7","2","ESD321DPYR","","","","","0.9pF 3.6V Â±30kV ESD protection diode with 6.8V 16A TLP clamping for USB 2.0","",""
"J2,J3","2","Conn_02x08_Odd_Even","","","","~","","",""
"J4","1","Screw_Terminal_01x02","","","","~","","",""
"J5","1","Barrel_Jack_Switch","","","","~","","",""
"R1,R5,R6,R14","4","100k","","","","~","","",""
"R2","1","5mR","","","","~","","",""
"R3","1","6.2k","","","","~","","",""
"R4","1","200R","","","","~","","",""
"R7,R15","2","82k","","","","~","","",""
"R8,R16","2","66.5k","","","","~","","",""
"R9,R17","2","51k","","","","~","","",""
"R10,R18","2","39k","","","","~","","",""
"R11,R19","2","26.1k","","","","~","","",""
"R12,R20","2","15k","","","","~","","",""
"R13,R21,R23,R24","4","5.1k","","","","~","","",""
"R22","1","1k","","","","~","","",""
"R25,R26,R27,R28","4","0R","","","","~","","",""
"TP1","1","TestPoint","","","","~","","",""
"U1","1","AP33771C","","","","","","",""
"U2","1","HP8KB7TB1","","","","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/hp8kb7tb1-e.pdf","","ROHM Semiconductor","HP8KB7TB1"
"X1","1","2216100001","","","","","","",""
